 category_name , category_name_ar ,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Accessories (General) ,  ???????? ???? ,0.35,0.00,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 Adapters , ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 All Audio/Video , ???? ????? ,0.35,0.07,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 Auto Parts , ??? ?????? ,0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Battery , ??????? ,0.35,0.00,0.16,0.12,0.15,0.00,0.00,999.00,999.00, 1.00 
 Belts and Wallets , ????? ? ????? ,0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
" Bicycles (including delivery tricycles), not motorized. ","?????? ????? ??? ?????? ??????? ???? ? ???? ??????? ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 8.00 
 Binoculars/Telescopes , ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Books , ???? ,0.00,0.00,0.00,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Bracelett ,"  ????? ???? ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Brooms and brushes ,????? ???????,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Cables/Adapters , ?????  ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Camera Digital , ?????? ????? ,0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Camera for documents , ?????? ??????? ,0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Camera Lens , ???? ?????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Capacitor (Fixed) , ???????? ??????? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Carpets , ???? ,0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Carrying Case , ????? ,0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 4.00 
 Charger , ???? ,0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Cleaning Agents/Detergents , ?????? ,0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Clothing , ????? ,0.25,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.18, 1.00 
