 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Accessories (General) ,  ???????? ???? ," {""category_name"" : ""Accessories (General)"",""category_name_ar"" : "" ???????? ????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 Adapters , ????? ," {""category_name"" : ""Adapters"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 All Audio/Video , ???? ????? ," {""category_name"" : ""All Audio/Video"",""category_name_ar"" : ""???? ?????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.09,999.00,999.00, 1.00 
 Auto Parts , ??? ?????? ," {""category_name"" : ""Auto Parts"",""category_name_ar"" : ""??? ??????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Battery , ??????? ," {""category_name"" : ""Battery"",""category_name_ar"" : ""???????""}, ",0.35,0.00,0.16,0.12,0.15,0.00,0.00,999.00,999.00, 1.00 
 Belts and Wallets , ????? ? ????? ," {""category_name"" : ""Belts and Wallets"",""category_name_ar"" : ""????? ? ?????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
" Bicycles (including delivery tricycles), not motorized. ","?????? ????? ??? ?????? ??????? ???? ? ???? ??????? "," {""category_name"" : ""Bicycles (including delivery tricycles), not motorized."",""category_name_ar"" : ""?????? ????? ??? ?????? ??????? ???? ? ???? ??????? ""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 8.00 
 Binoculars/Telescopes , ????? ," {""category_name"" : ""Binoculars/Telescopes"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Books , ???? ," {""category_name"" : ""Books"",""category_name_ar"" : ""????""}, ",0.00,0.00,0.00,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Bracelett ,"  ????? ???? "," {""category_name"" : ""Bracelett"",""category_name_ar"" : "" ????? ????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
