 Name English , Name Arabic , Category English - Arabic ,Customs, Aqaba Tax , Amman Tax , Margin , Aqaba Margin , Special Tax ,US Tax, Cap Aqaba , Cap Amman , Min Side Dimension  
 Accessories (General) ,  ???????? ???? , Accessories (General)  ???????? ???? ,35.0%,0%,16%,8%,9%,0%,9%, 999.00 , 999.00 , 1.00 
 Adapters , ????? , Adapters ????? ,35.0%,0%,16%,8%,9%,0%,8.50%, 999.00 , 999.00 , 1.00 
 All Audio/Video , ???? ????? , All Audio/Video ???? ????? ,35.0%,7%,16%,8%,9%,0%,8.50%, 999.00 , 999.00 , 1.00 
 Auto Parts , ??? ?????? , Auto Parts ??? ?????? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Battery , ??????? , Battery ??????? ,35.0%,0%,16%,12%,15%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Belts and Wallets , ????? ? ????? , Belts and Wallets ????? ? ????? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Bicycles (including delivery tricycles), not motorized. ","?????? ????? ??? ?????? ??????? ???? ? ???? ??????? "," Bicycles (including delivery tricycles), not motorized. ?????? ????? ??? ?????? ??????? ???? ? ???? ???????  ",25.0%,0%,16%,9%,10%,0%,0.00%,,, 8.00 
 Binoculars/Telescopes , ????? , Binoculars/Telescopes ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Books , ???? , Books ???? ,0.0%,0%,0%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Bracelett ,"  ????? ???? "," Bracelett  ????? ???? ",35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Brooms and brushes ,????? ???????, Brooms and brushes ????? ??????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Cables/Adapters , ?????  , Cables/Adapters ?????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Digital , ?????? ????? , Camera Digital ?????? ????? ,0.0%,7%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Camera for documents , ?????? ??????? , Camera for documents ?????? ??????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Lens , ???? ?????? , Camera Lens ???? ?????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Capacitor (Fixed) , ???????? ??????? , Capacitor (Fixed) ???????? ??????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Carpets , ???? , Carpets ???? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Carrying Case , ????? , Carrying Case ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 4.00 
 Charger , ???? , Charger ???? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Cleaning Agents/Detergents , ?????? , Cleaning Agents/Detergents ?????? ,11.5%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Clothing , ????? , Clothing ????? ,25.0%,0%,16%,8%,9%,0%,0.00%, 1.08 , 1.15 , 1.00 
" Clothing accessories  Leather gloves, mittens and mitts) ", ? ????? ????? ?  ???????? ??????? ," Clothing accessories  Leather gloves, mittens and mitts) ? ????? ????? ?  ???????? ??????? ",35.0%,0%,16%,8%,9%,0%,0.00%, 1.20 , 1.35 , 1.00 
 Clothing Dresses or Suits , ????? ??????? ???????? , Clothing Dresses or Suits ????? ??????? ???????? ,25.0%,7%,16%,8%,9%,0%,0.00%, 1.20 , 1.35 , 1.00 
 Computer Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????, Computer Card ? ????? ?????? ?????? ???????? ??????? ?? ???????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Case No power Supply  , ????? ??????? ???? ???? ???????? , Computer Case No power Supply  ????? ??????? ???? ???? ???????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Case With power Supply  , ????? ??????? ?? ???? ???????? , Computer Case With power Supply  ????? ??????? ?? ???? ???????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Fan  , ????? ???????  , Computer Fan  ????? ???????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Parts , ??? ??????? , Computer Parts ??? ??????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Replacement Parts , ???  ???? ??????? , Computer Replacement Parts ???  ???? ??????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 converters (Static) , ?????? ?????? ????? , converters (Static) ?????? ?????? ????? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 cosmetics or toilet preparations , ???? ??????? ?? ?????? ??????? , cosmetics or toilet preparations ???? ??????? ?? ?????? ??????? ,11.5%,7%,16%,16.0%,16.0%,5%,0.00%, 999.00 , 999.00 , 1.00 
 Cover , ??? , Cover ??? ,35.0%,0%,16%,8%,9%,0%,0.00%, 1.100 , 0.0137 , 1.00 
 CPU/Processor ,? ????? ?????? ?????? ???????? ??????? ?? ????????, CPU/Processor ? ????? ?????? ?????? ???????? ??????? ?? ???????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 3.00 
 Dental Care , ??????? ???????? , Dental Care ??????? ???????? ,11.5%,0%,16%,9.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Drilling, threading or tapping tools ",? ????? ???? ??????," Drilling, threading or tapping tools ? ????? ???? ?????? ",15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Applieances , ??????? ?????????? , Electric Applieances ??????? ?????????? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Scooter , ???????????? , Electric Scooter ???????????? ,0.0%,7%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Electronic calculators ,? ???? ????? ???????????? ???????? ??? ????? ??????? ???? ????? ?????? ??????????, Electronic calculators ? ???? ????? ???????????? ???????? ??? ????? ??????? ???? ????? ?????? ?????????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Exercise equipment for general physical exercise, gymnastics or athletics ",????? ?????? ??????? ??????? ???????? ?????? ?????," Exercise equipment for general physical exercise, gymnastics or athletics ????? ?????? ??????? ??????? ???????? ?????? ????? ",35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 FAN , ????? , FAN ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Fats and oils and their fractions, of fish, other than liver oils ","? ???? ????? ????????? ? ?? ????? ??? ??? ?????"," Fats and oils and their fractions, of fish, other than liver oils ? ???? ????? ????????? ? ?? ????? ??? ??? ????? ",0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Fertilizers , ????? , Fertilizers ????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Flash Drive/ SD Card , ???? ???? / ????? ???????  , Flash Drive/ SD Card ???? ???? / ????? ???????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Food/Chocolate/Candy , ?????? / ?????????? / ????? , Food/Chocolate/Candy ?????? / ?????????? / ????? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Food/Chocolate/Candy US Made , ?????? / ?????????? / ????? ???????? ??????? ??? , Food/Chocolate/Candy US Made ?????? / ?????????? / ????? ???????? ??????? ??? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Game Pad , ???? ????? , Game Pad ???? ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Game PC or Console , ???? / ??? ???? ?????? ????? PC  , Game PC or Console ???? / ??? ???? ?????? ????? PC  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Glass Wear , ??? ?????? , Glass Wear ??? ?????? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Gloves (fabric) , ?????? ?? ???? , Gloves (fabric) ?????? ?? ???? ,25.0%,0%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Graphics Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????, Graphics Card ? ????? ?????? ?????? ???????? ??????? ?? ???????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Hair Preparations (Shampoo etc) ,???????? ??????? ?????? ., Hair Preparations (Shampoo etc) ???????? ??????? ?????? . ,11.5%,0%,16%,12.0%,12.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Hair-removing appliances ,? ????? ????? ?????, Hair-removing appliances ? ????? ????? ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 HardDrives External , ????? ???? ?????? , HardDrives External ????? ???? ?????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 HardDrives Internal , ????? ???? ?????? , HardDrives Internal ????? ???? ?????? ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Hats , ????? , Hats ????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Headphones & earphones, w or w/o microphone ","?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ?????"," Headphones & earphones, w or w/o microphone ?????????? ??? ??????????? ??? ?????????? ? ??? ??????? ????? ?????? ????? ",25.0%,7%,16%,9%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Headset , ????? ??? , Headset ????? ??? ,35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Health and Personal Care , ?????? ??? , Health and Personal Care ?????? ??? ,11.5%,0%,16%,16.0%,16.0%,5%,0.00%, 999.00 , 999.00 , 1.00 
 Health and Personal Care (Liquids) , ?????? ??? - ???? , Health and Personal Care (Liquids) ?????? ??? - ???? ,11.5%,0%,16%,16.0%,16.0%,5%,0.00%, 999.00 , 999.00 , 1.00 
 Helmet Motor Cycle , ???? ????? ?????  , Helmet Motor Cycle ???? ????? ?????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Helmet Sports Leisure , ???? ??????? ??????  , Helmet Sports Leisure ???? ??????? ??????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Jewelry - Not Real , ??????? ??????? , Jewelry - Not Real ??????? ??????? ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Joystick , ??? ??????  , Joystick ??? ??????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 3.00 
 Keyboard/Mouse , ???? ???????? / ??????  , Keyboard/Mouse ???? ???????? / ??????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 4.00 
 kitchenware and Tableware ,  ????? ????? ?????  , kitchenware and Tableware  ????? ????? ?????  ,11.5%,0%,16%,9.0%,10.0%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Knee pads ,?????? ?????, Knee pads ?????? ????? ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 leather clothes , ????? ?????  , leather clothes ????? ?????  ,35.0%,7%,16%,8%,9%,8%,0.00%, 1.20 , 1.40 , 1.00 
 Lighting or visual signalling equipment ,? ????? ????? ?? ????? ????? , Lighting or visual signalling equipment ? ????? ????? ?? ????? ?????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
" Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass ",??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ??????? (?????????) ???????? ?? ???? ?????? ???????? ???????? ?? ???? ?????? ??? ??????," Machine-tools for working stone, ceramics, concrete, asbestos-cement , glass ??? ???? ???? ????? ?? ????? ?? ???????? ?? ???? ?????? ??????? (?????????) ???????? ?? ???? ?????? ???????? ???????? ?? ???? ?????? ??? ?????? ",0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Magazines , ?????  , Magazines ?????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Medical Apparatus 9022 , ????? ????  , Medical Apparatus 9022 ????? ????  ,0.0%,0.0%,16.0%,10%,10%,0.0%,0.00%, 999.00 , 999.00 , 1.00 
 Memory , ?????  , Memory ?????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 microphone and one or more loudspeakers ,"???? ????? ?? ????? ??? "" ??????? "" ????? ?? ???? ?? ?????? ????? "," microphone and one or more loudspeakers ???? ????? ?? ????? ??? "" ??????? "" ????? ?? ???? ?? ?????? ?????  ",35.0%,7%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 5.00 
 Microscope , ????  , Microscope ????  ,15.0%,0%,16%,9%,10.00%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Mobile Accessory , ?????? ?????? ??????  , Mobile Accessory ?????? ?????? ??????  ,35.0%,0%,16%,8%,9%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Mobile Phone , ?????? ???????  , Mobile Phone ?????? ???????  ,0.0%,7%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 1.00 
 Monitor  , ???? ???????  , Monitor  ???? ???????  ,0.0%,0%,16%,10%,10%,0%,0.00%, 999.00 , 999.00 , 7.00 
