 category_name , category_name_ar ,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax, cap_aqaba , cap_amm , min_side_length 
 Accessories (General) ,  ???????? ???? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 Adapters , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 All Audio/Video , ???? ????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,8.50%, 999.00 , 999.00 , 1.00 
 Auto Parts , ??? ?????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Battery , ??????? ,35.00%,0.00%,16.00%,12.00%,15.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Belts and Wallets , ????? ? ????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Bicycles (including delivery tricycles), not motorized. ","?????? ????? ??? ?????? ??????? ???? ? ???? ??????? ",25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 8.00 
 Binoculars/Telescopes , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Books , ???? ,0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Bracelett ,"  ????? ???? ",35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Brooms and brushes ,????? ???????,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cables/Adapters , ?????  ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Digital , ?????? ????? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera for documents , ?????? ??????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Camera Lens , ???? ?????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Capacitor (Fixed) , ???????? ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Carpets , ???? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Carrying Case , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 4.00 
 Charger , ???? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cleaning Agents/Detergents , ?????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Clothing , ????? ,25.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 ," 1,18 ", 1.00 
" Clothing accessories  Leather gloves, mittens and mitts) ", ? ????? ????? ?  ???????? ??????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.35 , 1.00 
 Clothing Dresses or Suits , ????? ??????? ???????? ,25.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.35 , 1.00 
 Computer Card ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Case No power Supply  , ????? ??????? ???? ???? ???????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Case With power Supply  , ????? ??????? ?? ???? ???????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 10.00 
 Computer Fan  , ????? ???????  ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Parts , ??? ??????? ,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Computer Replacement Parts , ???  ???? ??????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 converters (Static) , ?????? ?????? ????? ,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 cosmetics or toilet preparations , ???? ??????? ?? ?????? ??????? ,11.50%,7.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 Cover , ??? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 1.37 , 1.00 
 CPU/Processor ,? ????? ?????? ?????? ???????? ??????? ?? ????????,0.00%,0.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 3.00 
 Dental Care , ??????? ???????? ,11.50%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Drilling, threading or tapping tools ",? ????? ???? ??????,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Applieances , ??????? ?????????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Electric Scooter , ???????????? ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
